,year,MEIGHEN ICE CAP,MELVILLE SOUTH ICE CAP,WHITE,DEVON ICE CAP NW
0,1971,-420.0,-491.0,-183.0,-69.0
1,1972,30.0,-390.0,118.0,102.0
2,1973,30.0,-390.0,191.0,-95.0
3,1974,-30.0,-258.0,-44.0,-77.0
4,1975,80.0,-73.0,251.0,-69.0
5,1976,80.0,-73.0,114.0,176.0
6,1977,-240.0,-73.0,-370.0,-99.0
7,1978,-90.0,-73.0,-131.0,27.0
8,1979,-5.0,-73.0,-87.0,39.0
9,1980,-5.0,-73.0,,-57.0
10,1981,-170.0,-188.0,,-146.0
11,1982,160.0,-319.0,,-95.0
12,1983,-250.0,-74.0,-76.0,105.0
13,1984,230.0,38.0,-44.0,-31.0
14,1985,-30.0,-110.0,1.0,-108.0
15,1986,250.0,208.0,-243.0,184.0
16,1987,-180.0,16.0,-594.0,44.0
17,1988,-290.0,-629.0,140.0,-216.0
18,1989,290.0,-342.0,40.0,-69.0
19,1990,-210.0,-262.0,-431.0,-166.0
20,1991,-220.0,199.0,-160.0,-230.0
21,1992,10.0,-320.0,-274.0,96.0
22,1993,-590.0,-752.0,-423.0,-62.0
23,1994,-200.0,-110.0,-276.0,-32.0
24,1995,60.0,-470.0,-347.0,-147.0
25,1996,190.0,-210.0,50.0,-80.0
26,1997,-60.0,10.0,-38.0,-13.0
27,1998,-100.0,-780.0,-201.0,-276.0
28,1999,-350.0,-520.0,-470.0,-217.0
29,2000,-490.0,-740.0,-405.0,-320.0
30,2001,10.0,-260.0,-151.0,-559.0
31,2002,80.0,16.0,32.0,-21.0
32,2003,-530.0,20.0,-106.0,-139.0
33,2004,280.0,290.0,37.0,46.0
34,2005,-380.0,-190.0,-612.0,-262.0
35,2006,-8.0,-360.0,-93.0,-242.0
36,2007,-518.0,-1182.0,-818.0,-294.0
37,2008,-705.0,-905.0,-807.0,-577.0
38,2009,-676.0,-351.0,-586.0,-523.0
39,2010,-387.0,-939.0,-194.0,-417.0
40,2011,-1310.0,-1339.0,-987.0,-683.0
41,2012,-1117.0,-1556.0,-951.0,-503.0
42,2013,160.0,-172.0,45.0,24.0
43,2014,57.0,-159.0,-417.0,-246.0
44,2015,-892.0,-1148.0,-693.0,-395.0
45,2016,-791.0,-792.0,-268.0,-483.0
46,2017,126.0,38.0,116.0,-153.0
47,2018,199.0,221.0,8.0,46.0
48,2019,-1025.0,-416.0,-799.0,-484.0
49,2020,-723.0,-807.0,-552.0,-647.0
50,2021,-131.0,122.0,-107.0,-5.0
51,2022,-762.0,-1075.0,,-576.0
