MEIGHEN ICE CAP,Arctic-Canada
MELVILLE SOUTH ICE CAP,Arctic-Canada
White,Arctic-Canada
DEVON ICE CAP NW,Arctic-Canada
Austre Broeggerbreen,Spitsbergen
Midtre Lovenbreen,Spitsbergen
Kongsvegen,Spitsbergen
Waldemarbreen,Spitsbergen
Irenebreen,Spitsbergen
Hansbreen,Spitsbergen
Langfjordjoekelen,Norway-Sweden
Marmaglaciaeren,Norway-Sweden
Rabots Glaciaer,Norway-Sweden
Storglaciaeren,Norway-Sweden
Engabreen,Norway-Sweden
Mittivakkat,Greenland
Hofsjoekull N,Iceland
Hofsjoekull E,Iceland
Hofsjoekull SW,Iceland
BRUARJOKULL,Iceland
Dyngjujokull,Iceland
Eyjabakkajokull,Iceland
LANGJOKULL ICE CAP,Iceland
Tungnaarjokull,Iceland
KOLDUKVISLARJ.,Iceland
Austdalsbreen,Norway-Sweden
Aalfotbreen,Norway-Sweden
Hansebreen,Norway-Sweden
Nigardsbreen,Norway-Sweden
Graasubreen,Norway-Sweden
Hellstugubreen,Norway-Sweden
Storbreen,Norway-Sweden
Gulkana,Alaska
Wolverine,Alaska
Lemon Creek,Alaska
