year,mass_balance,uncertainty_mass_balance
1971,-25.08,27.16
1972,-68.03,26.46
1973,-14.52,15.28
1974,-89.19,63.60
1975,-22.15,55.14
1976,-33.56,29.89
1977,25.17,52.92
1978,-16.62,32.42
1979,-61.02,31.98
1980,40.23,47.19
1981,38.67,112.56
1982,-41.60,22.11
1983,-57.38,44.25
1984,-36.91,28.84
1985,-2.64,41.51
1986,-33.27,14.39
1987,-20.34,57.32
1988,14.16,28.89
1989,-89.18,28.32
1990,-106.87,48.18
1991,-40.80,23.32
1992,-50.81,20.48
1993,-88.67,32.89
1994,-50.36,7.51
1995,-82.52,15.86
1996,-100.02,28.22
1997,-146.24,14.11
1998,-33.08,39.56
1999,-75.37,44.85
2000,-8.01,15.19
2001,-36.20,42.42
2002,-55.54,8.61
2003,-58.51,69.30
2004,-162.52,31.91
2005,-101.63,27.47
2006,-36.55,31.66
2007,-36.76,21.11
2008,60.01,4.12
2009,-87.16,25.01
2010,-74.07,57.58
2011,-99.76,32.43
2012,23.21,56.33
2013,-122.09,7.68
2014,-95.72,43.58
2015,-113.12,29.30
2016,-96.88,47.49
2017,-120.75,27.11
2018,-129.34,57.03
2019,-165.37,59.77
2020,-79.89,38.44
2021,-60.98,26.48
2022,-102.20,8.02
