year,mass_balance,uncertainty_mass_balance
1971,-13.90,29.69
1972,9.07,40.38
1973,3.08,34.01
1974,-0.74,14.96
1975,10.99,26.75
1976,17.39,35.51
1977,-10.06,21.24
1978,2.97,21.87
1979,5.94,20.37
1980,2.10,8.99
1981,-8.65,5.79
1982,-0.81,22.22
1983,4.44,37.36
1984,9.98,8.67
1985,1.26,11.22
1986,16.63,40.87
1987,-7.27,49.96
1988,-11.94,42.80
1989,5.91,28.25
1990,-16.31,15.45
1991,-6.00,26.13
1992,0.52,38.79
1993,-25.96,40.33
1994,-5.13,22.14
1995,-11.94,23.17
1996,5.89,19.22
1997,5.30,14.34
1998,-20.97,29.17
1999,-25.44,11.69
2000,-33.65,9.93
2001,-21.28,56.69
2002,9.15,9.29
2003,-9.31,33.45
2004,19.41,7.49
2005,-26.14,26.65
2006,-9.39,19.93
2007,-49.09,33.34
2008,-59.09,19.00
2009,-43.28,33.38
2010,-33.69,35.61
2011,-84.37,13.71
2012,-76.31,19.67
2013,9.85,20.96
2014,-12.89,24.48
2015,-56.24,16.48
2016,-42.91,35.12
2017,7.07,19.72
2018,16.31,9.99
2019,-53.75,38.75
2020,-54.84,33.98
2021,4.42,19.80
2022,-62.21,15.17
