year,mass_balance,uncertainty_mass_balance
1971,-17.11,18.28
1972,11.17,24.85
1973,3.79,20.93
1974,-0.90,9.21
1975,13.53,16.47
1976,21.41,21.86
1977,-12.38,13.08
1978,3.66,13.46
1979,7.32,12.54
1980,2.58,5.53
1981,-10.64,3.56
1982,-1.00,13.68
1983,5.46,23.00
1984,12.28,5.34
1985,1.55,6.90
1986,20.47,25.15
1987,-8.95,30.75
1988,-14.70,26.34
1989,7.28,17.39
1990,-20.08,9.51
1991,-7.38,16.09
1992,0.64,23.88
1993,-31.95,24.82
1994,-6.31,13.63
1995,-14.70,14.26
1996,7.25,11.83
1997,6.52,8.83
1998,-25.82,17.95
1999,-31.32,7.19
2000,-41.42,6.11
2001,-26.20,34.89
2002,11.26,5.72
2003,-11.46,20.59
2004,23.89,4.61
2005,-32.18,16.40
2006,-11.56,12.27
2007,-60.43,20.52
2008,-72.74,11.69
2009,-53.28,20.54
2010,-41.47,21.91
2011,-103.86,8.44
2012,-93.94,12.11
2013,12.12,12.90
2014,-15.87,15.07
2015,-69.23,10.14
2016,-52.83,21.61
2017,8.70,12.14
2018,20.07,6.15
2019,-66.16,23.85
2020,-67.51,20.91
2021,5.44,12.18
2022,-76.58,9.34
