year,mass_balance,uncertainty_mass_balance
1971,-26.09,27.87
1972,17.03,37.90
1973,5.78,31.92
1974,-1.38,14.04
1975,20.64,25.11
1976,32.65,33.33
1977,-18.88,19.94
1978,5.58,20.53
1979,11.16,19.12
1980,3.94,8.44
1981,-16.23,5.43
1982,-1.52,20.86
1983,8.33,35.07
1984,18.73,8.14
1985,2.37,10.53
1986,31.21,38.36
1987,-13.65,46.89
1988,-22.42,40.17
1989,11.10,26.52
1990,-30.62,14.50
1991,-11.26,24.53
1992,0.97,36.41
1993,-48.73,37.85
1994,-9.63,20.78
1995,-22.41,21.75
1996,11.05,18.04
1997,9.94,13.46
1998,-39.37,27.38
1999,-47.76,10.97
2000,-63.17,9.32
2001,-39.95,53.21
2002,17.17,8.72
2003,-17.47,31.40
2004,36.43,7.03
2005,-49.07,25.01
2006,-17.63,18.71
2007,-92.15,31.29
2008,-110.92,17.83
2009,-81.25,31.33
2010,-63.24,33.42
2011,-158.38,12.87
2012,-143.26,18.46
2013,18.49,19.67
2014,-24.20,22.98
2015,-105.58,15.47
2016,-80.56,32.96
2017,13.27,18.51
2018,30.61,9.38
2019,-100.90,36.37
2020,-102.95,31.89
2021,8.29,18.58
2022,-116.79,14.24
