year,mass_balance,uncertainty_mass_balance
1971,-212.24,124.73
1972,229.17,120.44
1973,-32.73,118.62
1974,-162.90,123.01
1975,32.02,125.05
1976,146.33,125.69
1977,-18.32,127.92
1978,28.65,127.47
1979,-48.29,123.37
1980,-113.97,124.47
1981,-221.60,122.35
1982,-145.40,119.02
1983,198.43,120.92
1984,70.11,124.11
1985,-91.82,127.53
1986,50.60,79.22
1987,-49.80,92.00
1988,-107.73,80.32
1989,-164.84,75.50
1990,-138.73,84.11
1991,-78.04,88.06
1992,86.51,77.65
1993,-91.17,85.87
1994,-113.81,73.42
1995,-212.26,76.59
1996,131.86,84.37
1997,7.23,80.53
1998,-242.03,81.90
1999,-47.09,85.31
2000,-77.22,77.78
2001,-26.03,84.90
2002,-142.38,83.19
2003,-167.27,94.72
2004,-166.20,83.81
2005,-168.41,94.97
2006,-239.84,76.69
2007,-257.30,95.37
2008,-199.78,97.10
2009,-241.12,85.00
2010,-374.13,93.36
2011,-330.19,93.72
2012,-425.40,109.53
2013,-100.15,87.97
2014,-182.20,93.46
2015,-213.18,95.38
2016,-255.47,101.75
2017,-101.39,90.77
2018,-72.97,82.37
2019,-411.93,98.52
2020,-173.93,88.18
2021,-197.33,86.84
2022,-48.07,89.03
