year,mass_balance,uncertainty_mass_balance
1971,-0.13,0.41
1972,-1.01,0.56
1973,0.15,0.95
1974,-0.00,0.62
1975,-0.17,0.83
1976,-0.18,0.95
1977,-0.80,0.51
1978,-0.93,0.61
1979,-0.35,0.47
1980,-1.79,0.45
1981,-0.45,0.27
1982,-0.58,0.39
1983,0.16,0.27
1984,-0.26,0.49
1985,-1.10,0.91
1986,-0.91,0.35
1987,0.53,0.53
1988,-1.91,0.59
1989,1.20,0.59
1990,0.67,0.64
1991,-0.25,0.54
1992,0.64,0.47
1993,0.78,0.35
1994,-0.24,0.51
1995,0.28,0.32
1996,-0.97,0.80
1997,-1.11,0.90
1998,-0.55,0.69
1999,-0.86,0.52
2000,0.36,0.30
2001,-1.61,1.04
2002,-2.06,0.31
2003,-2.24,0.58
2004,-1.06,0.43
2005,-0.38,0.28
2006,-3.07,0.31
2007,-0.25,0.45
2008,-0.09,0.33
2009,-0.85,0.40
2010,-1.87,0.58
2011,-1.89,0.54
2012,0.25,0.32
2013,-1.96,0.83
2014,-1.59,0.42
2015,0.32,0.57
2016,-1.00,0.46
2017,-0.37,0.67
2018,-2.47,0.41
2019,-1.58,1.10
2020,0.13,0.66
2021,-1.65,0.84
2022,-0.88,0.72
