year,mass_balance,uncertainty_mass_balance
1971,-10.07,0.17
1972,-2.66,0.31
1973,3.58,0.51
1974,-21.33,1.92
1975,-2.51,0.16
1976,-6.59,0.32
1977,2.86,0.39
1978,-10.09,0.75
1979,-14.92,1.37
1980,-8.78,0.55
1981,-9.65,0.59
1982,4.75,0.46
1983,-1.34,0.12
1984,-15.50,1.40
1985,-9.95,0.89
1986,-2.65,0.02
1987,11.49,0.70
1988,-8.87,1.66
1989,-6.61,2.39
1990,-15.35,4.28
1991,6.46,3.16
1992,-1.32,6.78
1993,-22.37,3.26
1994,3.48,3.82
1995,-12.94,8.96
1996,-9.36,32.54
1997,-6.21,5.69
1998,-18.53,6.52
1999,-8.05,4.47
2000,-0.39,9.83
2001,-16.85,13.50
2002,-10.54,7.37
2003,-14.91,6.72
2004,-18.63,10.27
2005,-13.43,6.84
2006,-7.92,4.47
2007,-6.12,2.03
2008,3.83,1.79
2009,-8.57,11.08
2010,-2.90,1.62
2011,-20.40,3.64
2012,-5.44,5.22
2013,-24.13,12.68
2014,-1.96,6.50
2015,-16.85,7.02
2016,-31.35,8.32
2017,-19.44,8.43
2018,-23.33,7.91
2019,-17.44,2.66
2020,-44.94,4.53
2021,-8.58,3.24
2022,-34.07,1.28
