year,Iceland,Svalbard,Russian-Arctic,Alaska,Arctic-Canada,Scandinavia,Greenland
1971,0.00,-10.07,-11.31,-25.08,-26.09,-0.13,-212.24
1972,0.00,-12.73,-14.30,-93.11,-9.06,-1.14,16.93
1973,0.00,-9.15,-10.28,-107.63,-3.28,-0.99,-15.80
1974,0.00,-30.48,-34.25,-196.82,-4.66,-1.00,-178.70
1975,0.00,-32.99,-37.07,-218.97,15.99,-1.17,-146.68
1976,0.00,-39.58,-44.47,-252.53,48.63,-1.35,-0.35
1977,0.00,-36.71,-41.25,-227.35,29.75,-2.14,-18.67
1978,0.00,-46.81,-52.59,-243.98,35.33,-3.07,9.97
1979,0.00,-61.72,-69.35,-304.99,46.49,-3.42,-38.32
1980,0.00,-70.50,-79.21,-264.76,50.43,-5.21,-152.29
1981,0.00,-80.15,-90.05,-226.09,34.20,-5.67,-373.89
1982,0.00,-75.40,-84.72,-267.70,32.69,-6.25,-519.30
1983,0.00,-76.74,-86.23,-325.07,41.02,-6.09,-320.86
1984,0.00,-92.24,-103.64,-361.99,59.75,-6.35,-250.75
1985,0.00,-102.19,-114.82,-364.63,62.11,-7.45,-342.57
1986,8.42,-104.84,-117.80,-397.90,93.32,-8.36,-291.97
1987,8.42,-93.35,-104.88,-418.24,79.67,-7.83,-341.77
1988,-3.95,-102.21,-114.85,-404.08,57.25,-9.74,-449.50
1989,6.96,-108.83,-122.27,-493.26,68.35,-8.54,-614.34
1990,-0.48,-124.18,-139.52,-600.13,37.73,-7.86,-753.07
1991,-17.83,-117.72,-132.27,-640.93,26.47,-8.11,-831.11
1992,-6.41,-119.04,-133.75,-691.74,27.44,-7.47,-744.59
1993,2.81,-141.42,-158.89,-780.41,-21.29,-6.70,-835.76
1994,3.48,-137.93,-154.98,-830.77,-30.92,-6.93,-949.58
1995,-6.28,-150.87,-169.52,-913.29,-53.33,-6.65,-1161.84
1996,-19.42,-160.24,-180.04,-1013.31,-42.28,-7.63,-1029.97
1997,-32.64,-166.44,-187.01,-1159.55,-32.34,-8.74,-1022.75
1998,-48.23,-184.97,-207.83,-1192.64,-71.70,-9.29,-1264.78
1999,-57.69,-193.02,-216.87,-1268.01,-119.46,-10.15,-1311.87
2000,-74.39,-193.40,-217.30,-1276.02,-182.63,-9.79,-1389.09
2001,-85.85,-210.26,-236.24,-1312.21,-222.57,-11.40,-1415.12
2002,-96.73,-220.80,-248.09,-1367.76,-205.41,-13.46,-1557.50
2003,-112.17,-235.71,-264.84,-1426.27,-222.87,-15.69,-1724.77
2004,-129.87,-254.34,-285.77,-1588.79,-186.44,-16.75,-1890.97
2005,-143.78,-267.77,-300.86,-1690.42,-235.51,-17.13,-2059.37
2006,-155.38,-275.69,-309.76,-1726.96,-253.14,-20.20,-2299.21
2007,-165.17,-281.81,-316.64,-1763.73,-345.29,-20.46,-2556.51
2008,-177.99,-277.98,-312.33,-1703.72,-456.21,-20.55,-2756.30
2009,-182.67,-286.54,-321.95,-1790.88,-537.46,-21.40,-2997.42
2010,-219.49,-289.44,-343.95,-1864.95,-600.69,-23.27,-3371.55
2011,-224.59,-309.84,-365.95,-1964.71,-759.07,-25.15,-3701.73
2012,-232.78,-315.28,-387.95,-1941.51,-902.33,-24.91,-4127.14
2013,-238.69,-339.41,-409.95,-2063.59,-883.84,-26.87,-4227.29
2014,-251.19,-341.36,-431.95,-2159.31,-908.04,-28.46,-4409.48
2015,-240.90,-358.21,-453.95,-2272.43,-1013.62,-28.15,-4622.66
2016,-254.23,-389.56,-475.95,-2369.31,-1094.18,-29.14,-4878.13
2017,-259.02,-408.99,-497.95,-2490.07,-1080.92,-29.51,-4979.52
2018,-257.37,-432.32,-524.16,-2619.40,-1050.31,-31.98,-5052.49
2019,-274.83,-449.76,-543.76,-2784.78,-1151.21,-33.56,-5464.43
2020,-280.90,-494.70,-594.26,-2864.67,-1254.16,-33.43,-5638.36
2021,-297.61,-503.29,-603.90,-2925.65,-1245.87,-35.08,-5835.69
2022,-298.35,-537.36,-642.18,-3027.86,-1362.66,-35.96,-5883.76
