,year,MEIGHEN ICE CAP,MELVILLE SOUTH ICE CAP,WHITE,DEVON ICE CAP NW,AUSTRE BROEGGERBREEN,MIDTRE LOVENBREEN,KONGSVEGEN,WALDEMARBREEN,IRENEBREEN,HANSBREEN,LANGFJORDJOEKELEN,MARMAGLACIAEREN,RABOTS GLACIAER,STORGLACIAEREN,ENGABREEN,MITTIVAKKAT,HOFSJOEKULL N,HOFSJOEKULL E,HOFSJOEKULL SW,BRUARJOKULL,DYNGJUJOKULL,EYJABAKKAJOKULL,LANGJOKULL ICE CAP,TUNGNAARJOKULL,KOLDUKVISLARJ.,AUSTDALSBREEN,AALFOTBREEN,HANSEBREEN,NIGARDSBREEN,GRAASUBREEN,HELLSTUGUBREEN,STORBREEN,GULKANA,WOLVERINE,LEMON CREEK
0,1971,-420.0,-491.0,-183.0,-69.0,-580.0,-460.0,,,,,,,,-190.0,744.0,,,,,,,,,,,,831.0,,853.0,-470.0,-112.0,180.0,-480.0,310.0,-310.0
1,1972,30.0,-390.0,118.0,102.0,-310.0,-220.0,,,,,,,,-1050.0,-574.0,,,,,,,,,,,,41.0,,-226.0,-643.0,-479.0,-310.0,-810.0,-1070.0,-560.0
2,1973,30.0,-390.0,191.0,-95.0,-80.0,-20.0,,,,,,,,50.0,1932.0,,,,,,,,,,,,2005.0,,1061.0,-891.0,-212.0,80.0,0.0,450.0,-430.0
3,1974,-30.0,-258.0,-44.0,-77.0,-920.0,-890.0,,,,,,,,-340.0,453.0,,,,,,,,,,,,854.0,,208.0,343.0,285.0,240.0,-1910.0,-1250.0,-280.0
4,1975,80.0,-73.0,251.0,-69.0,-310.0,-210.0,,,,,,,,1170.0,994.0,,,,,,,,,,,,820.0,,20.0,-946.0,-334.0,-150.0,-810.0,-120.0,380.0
5,1976,80.0,-73.0,114.0,176.0,-450.0,-350.0,,,,,,,,270.0,1799.0,,,,,,,,,,,,1305.0,,436.0,-1002.0,-715.0,-90.0,-50.0,-790.0,-160.0
6,1977,-240.0,-73.0,-370.0,-99.0,-110.0,-40.0,,,,,,,,200.0,333.0,,,,,,,,,,,,-630.0,,-834.0,-389.0,-685.0,-540.0,320.0,1970.0,-390.0
7,1978,-90.0,-73.0,-131.0,27.0,-560.0,-480.0,,,,,,,,-80.0,-1260.0,,,,,,,,,,,,-617.0,,-238.0,-217.0,-482.0,-440.0,-80.0,820.0,-710.0
8,1979,-5.0,-73.0,-87.0,39.0,-710.0,-660.0,,,,,,,,-210.0,-195.0,,,,,,,,,,,,-152.0,,337.0,42.0,10.0,100.0,-280.0,-1350.0,-540.0
9,1980,-5.0,-73.0,,-57.0,-520.0,-430.0,,,,,,,,-1270.0,-928.0,,,,,,,,,,,,-726.0,,-1276.0,-888.0,-1197.0,-1310.0,620.0,2080.0,-180.0
10,1981,-170.0,-188.0,,-146.0,-550.0,-460.0,,,,,,,,-190.0,34.0,,,,,,,,,,,,235.0,,211.0,-188.0,-338.0,-100.0,-110.0,3560.0,-720.0
11,1982,160.0,-319.0,,-95.0,-40.0,20.0,,,,,,,-70.0,260.0,410.0,,,,,,,,,,,,-12.0,,-419.0,-513.0,-367.0,-470.0,-510.0,-420.0,-340.0
12,1983,-250.0,-74.0,-76.0,105.0,-270.0,-170.0,,,,,,,-110.0,280.0,451.0,,,,,,,,,,,,1380.0,,911.0,-53.0,156.0,200.0,380.0,-560.0,-1530.0
13,1984,230.0,38.0,-44.0,-31.0,-730.0,-680.0,,,,,,,-530.0,120.0,795.0,,,,,,,,,,,,1376.0,,191.0,-370.0,-522.0,-300.0,-490.0,-460.0,-160.0
14,1985,-30.0,-110.0,1.0,-108.0,-550.0,-480.0,,,,,,,-1280.0,-720.0,-1620.0,,,,,,,,,,,,-497.0,,-791.0,1.0,-306.0,-400.0,-270.0,170.0,420.0
15,1986,250.0,208.0,-243.0,184.0,-320.0,-210.0,,,,,,,-188.0,-60.0,-218.0,,,,,,,,,30.0,,,-611.0,-700.0,-616.0,-764.0,-507.0,-320.0,30.0,-510.0,-420.0
16,1987,-180.0,16.0,-594.0,44.0,220.0,240.0,535.0,,,,,,223.0,480.0,439.0,,,,,,,,,,,,2073.0,881.0,910.0,711.0,441.0,320.0,-630.0,1310.0,-750.0
